ID RMU,Universitate,ID Universitate,Facultate,ID Facultate,Tara,ID Tara,Localitate,ID Localitate,Domeniu studiu,ID Domeniu studiu,Specializare,ID Specializare,Tip acreditare,ID Tip acreditare,Forma invatamant,ID Forma invatamant,Ciclu de studiu,ID Ciclu de studiu,Limba predare,ID Limba predare,Durata studiu,Numar credite,An
14986,Universitatea din Craiova,26,Facultatea de Litere,190,România,160,CRAIOVA,5562,Filologie,99,Paradigme ale comunicării interculturale,4165,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14983,Universitatea din Craiova,26,Facultatea de Litere,190,România,160,CRAIOVA,5562,Filologie,99,Perspective lingvistice şi literare în spaţiul francofon,4162,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Franceză,3,2,120,2020
14980,"Universitatea de Medicină şi Farmacie ""Victor Babeş"" din Timişoara",49,Facultatea de Medicină,367,România,160,TIMIŞOARA,11846,Medicină,89,Responsabilitatea juridică a personalului medical,4159,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14977,Universitatea Maritimă din Constanţa,25,Facultatea de Electromecanică Navală,185,România,160,CONSTANŢA,4847,"Inginerie electronică, telecomunicaţii şi tehnologii informaţionale",53,Securitate cibernetică şi managementul riscurilor,4156,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14974,"Universitatea ""Athenaeum"" din Bucureşti",66,Facultatea de Ştiinţe Economice,467,România,160,BUCUREŞTI,13755,Contabilitate,27,Sistem informaţional contabil în asistarea deciziilor,4153,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14968,Universitatea din Petroşani,35,Facultatea de Mine,276,România,160,DEVA,7004,Inginerie şi management,66,Ingineria şi managementul afacerilor,290,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,4,240,2020
14962,Universitatea din Bucureşti,5,Facultatea de Matematică şi Informatică,48,România,160,BUCUREŞTI,13755,Informatică,4,Ştiinţa datelor/ Data Science,4144,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14959,Universitatea din Bucureşti,5,Facultatea de Matematică şi Informatică,48,România,160,BUCUREŞTI,13755,Matematică,1,Studii avansate în matematică/ Advanced Studies in Matematics,4141,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14956,"Universitatea de Ştiinţe Agricole şi Medicină Veterinară a Banatului ""Regele Mihai I al României"" din Timişoara",47,Facultatea de Inginerie Alimentară,354,România,160,TIMIŞOARA,11846,Ingineria produselor alimentare,58,"Sustenabilitate în agricultură, producţia alimentară şi Tehnologia alimentară în regiunea Dunării/ Sustainability in Agriculture, Food Production and Food Technology in the Danube Region",4138,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14953,"Universitatea Tehnică ""Gheorghe Asachi"" din Iaşi",29,"Facultatea de Electronică, Telecomunicaţii şi Tehnologia Informaţiei",225,România,160,IAŞI,7630,"Inginerie electronică, telecomunicaţii şi tehnologii informaţionale",53,Tehnologii informatice pentru telecomunicaţii/ Information Technologies for Telecomunications,4135,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14950,Universitatea Politehnica din Bucureşti,1,Facultatea de Inginerie Medicală,14,România,160,BUCUREŞTI,13755,Ştiinţe inginereşti aplicate,70,Tehnologii moderne pentru ingineria medicală,4129,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14947,Universitatea Tehnică din Cluj-Napoca,18,Facultatea de Ştiinţe,106,România,160,BAIA MARE,8163,Ingineria produselor alimentare,58,Ştiinţa şi siguranţa alimentului,4123,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14944,Şcoala Naţională de Studii Politice şi Administrative din Bucureşti,12,Departamentul de Relaţii Internaţionale şi Integrare Europeană,684,România,160,BUCUREŞTI,13755,Ştiinţe politice,18,Securitate şi tehnologie/ Security and Technology,4120,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14941,"Universitatea ""Ovidius"" din Constanţa",24,Facultatea de Litere,168,România,160,CONSTANŢA,4847,Ştiinţe ale comunicării,21,Relaţii publice şi dezvoltare interculturală,4117,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14935,Universitatea Politehnica din Bucureşti,1,Facultatea de Energetică,2,România,160,BUCUREŞTI,13755,Inginerie energetică,54,Monitorizarea şi controlul sistemelor eletroenergetice,4111,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14932,"Universitatea ""Spiru Haret"" din Bucureşti",62,Facultatea de Ştiinţe Economice,668,România,160,BUCUREŞTI,13755,Management,30,Managementul integrat al afacerilor,4108,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14929,Universitatea Tehnică din Cluj-Napoca,18,"Facultatea de Autovehicule rutiere, Mecatronică și Mecanică",132,România,160,CLUJ-NAPOCA,4413,Ingineria transporturilor,67,Logistica şi siguranţa în transporturi,4102,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14926,Universitatea Politehnica Timişoara,46,Facultatea de Management în Producţie şi Transporturi,346,România,160,TIMIŞOARA,11846,Inginerie şi management,66,Ingineria şi managementul calităţii şi competitivităţii/ Quality and Competitiveness Engineering and Management,4099,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14923,Universitatea din Bucureşti,5,Facultatea de Limbi şi Literaturi Străine,47,România,160,BUCUREŞTI,13755,Filologie,99,Digitalizarea în ştiinţe umaniste/ Digital Humanities,4096,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14920,"Universitatea ""Aurel Vlaicu"" din Arad",14,Facultatea de Ştiinţe Umaniste şi Sociale,90,România,160,ARAD,717,Teologie,14,Credinţă şi viaţă. Studii de teologie publică./ Faith and Life. Studies in Public Theology,4093,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14917,Universitatea Petrol-Gaze din Ploieşti,37,Facultatea de Ştiinţe Economice,293,România,160,PLOIEŞTI,10029,Contabilitate,27,"Contabilitate, fiscalitate şi audit",4090,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14914,"Universitatea ""Dunărea de Jos"" din Galaţi",28,Facultatea Transfrontalieră,220,Republica Moldova,122,CHIȘINĂU,17522,Ştiinţe ale comunicării,21,Comunicare instituţională,4087,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14911,Universitatea Politehnica din Bucureşti,1,Facultatea de Chimie Aplicată şi Ştiinţa Materialelor,11,România,160,BUCUREŞTI,13755,Inginerie chimică,48,Biorafinării şi bioproduse,4084,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14908,Universitatea din Bucureşti,5,Facultatea de Limbi şi Literaturi Străine,47,România,160,BUCUREŞTI,13755,Filologie,99,Limba rusă aplicată. Tehnici de traducere,4081,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Rusă,185,2,120,2020
14905,Universitatea Româno-Americană din Bucureşti,60,Facultatea de Relaţii Comerciale şi Financiar - Bancare Interne şi Internaţionale,410,România,160,BUCUREŞTI,13755,Contabilitate,27,Gestiunea și auditul afacerilor,4078,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14902,Universitatea din Bucureşti,5,Facultatea de Matematică şi Informatică,48,România,160,BUCUREŞTI,13755,Informatică,4,Securitate şi logică aplicată/ Security and Applied Logic,3786,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14899,Universitatea Tehnică din Cluj-Napoca,18,"Facultatea de Autovehicule rutiere, Mecatronică și Mecanică",132,România,160,CLUJ-NAPOCA,4413,Ingineria autovehiculelor,59,Tehnici avansate în ingineria autovehiculelor/ Advanced Techniques in Automotive,3576,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14896,Universitatea din Bucureşti,5,Facultatea de Matematică şi Informatică,48,România,160,BUCUREŞTI,13755,Informatică,4,Inteligenţă artificială/ Artificial Intelligence,897,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14893,Universitatea din Bucureşti,5,Facultatea de Administraţie şi Afaceri,36,România,160,BUCUREŞTI,13755,Ştiinţe administrative,20,Managementul achiziţiilor publice,4105,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14890,Universitatea Maritimă din Constanţa,25,Facultatea de Electromecanică Navală,185,România,160,CONSTANŢA,4847,"Inginerie electronică, telecomunicaţii şi tehnologii informaţionale",53,Circuite şi sisteme integrate de comunicaţii,620,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14887,"Universitatea Naţională de Arte ""George Enescu"" din Iaşi",33,"Facultatea de Interpretare, Compoziţie şi Studii Muzicale Teoretice",617,România,160,IAŞI,7630,Muzică,34,Interpretare muzicală,1657,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14884,Universitatea Politehnica din Bucureşti,1,Facultatea de Inginerie Aerospaţială,9,România,160,BUCUREŞTI,13755,Calculatoare şi tehnologia informaţiei,44,Tehnologia informaţiei aplicată în aviaţie/ Information Technologies Applied in Aviation,4126,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14881,"Universitatea de Medicină, Farmacie, Științe și Tehnologie ""George Emil Palade"" din Târgu Mureș",44,Facultatea de Medicină în Limba Engleză,1363,România,160,HAMBURG,17536,Sănătate (Medicină - Reglementată sectorial),77,Medicină,327,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Engleză,2,6,360,2020
14875,Universitatea de Vest din Timişoara,48,Școala doctorală de Psihologie,1126,n/a,n/a,n/a,n/a,Știința sportului și educației fizice,101,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă redusă (IFR),2,Doctorat,3,n/a,n/a,3,180,2020
14872,Universitatea de Vest din Timişoara,48,Școala doctorală de Psihologie,1126,n/a,n/a,n/a,n/a,Știința sportului și educației fizice,101,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă (IF),1,Doctorat,3,n/a,n/a,3,180,2020
14869,Universitatea din Craiova,26,Școala Doctorală de Științe Sociale și Umaniste,1151,n/a,n/a,n/a,n/a,Știința sportului și educației fizice,101,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă redusă (IFR),2,Doctorat,3,n/a,n/a,3,180,2020
14866,Universitatea din Craiova,26,Școala Doctorală de Științe Sociale și Umaniste,1151,n/a,n/a,n/a,n/a,Știința sportului și educației fizice,101,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă (IF),1,Doctorat,3,n/a,n/a,3,180,2020
14862,Universitatea Tehnică din Cluj-Napoca,18,Facultatea de Litere,105,România,160,BAIA MARE,8163,Limbi moderne aplicate,11,Limbi moderne aplicate,35,A,3,Învăţământ cu frecvenţă (IF),1,Licență,1,Franceză/Germană,60,3,180,2020
14856,Universitatea Româno-Americană din Bucureşti,60,Facultatea de Studii Economice Europene,411,România,160,BUCUREŞTI,13755,n/a,n/a,Program pregătitor de limba română pentru cetățenii străini,3895,A,3,Învăţământ cu frecvenţă (IF),1,An pregătitor,5,Română,8,1,60,2020
14853,Universitatea din Bucureşti,5,Facultatea de Limbi şi Literaturi Străine,47,România,160,BUCUREŞTI,13755,Limbă şi literatură,10,Limbă şi literatură modernă A - Limbă şi literatură modernă B,348,A,3,Învăţământ cu frecvenţă (IF),1,Licență,1,Sârbă/Italiană,779,3,180,2020
14850,"Universitatea de Ştiinţe Agricole şi Medicină Veterinară a Banatului ""Regele Mihai I al României"" din Timişoara",47,Facultatea de Management și Turism Rural,352,România,160,TIMIŞOARA,11846,Inginerie şi management în agricultură şi dezvoltare rurală,83,Bioeconomie/ Bioeconomy,4074,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14844,Academia Romana,500,„Şcoala de Studii Avansate a Academiei Române” (SCOSAAR),1014,n/a,n/a,n/a,n/a,Medicină veterinară,72,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă redusă (IFR),2,Doctorat,3,n/a,n/a,3,180,2020
14841,Academia Romana,500,„Şcoala de Studii Avansate a Academiei Române” (SCOSAAR),1014,n/a,n/a,n/a,n/a,Medicină veterinară,72,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă (IF),1,Doctorat,3,n/a,n/a,3,180,2020
14838,Academia Romana,500,„Şcoala de Studii Avansate a Academiei Române” (SCOSAAR),1014,n/a,n/a,n/a,n/a,Sociologie,16,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă redusă (IFR),2,Doctorat,3,n/a,n/a,3,180,2020
14835,Academia Romana,500,„Şcoala de Studii Avansate a Academiei Române” (SCOSAAR),1014,n/a,n/a,n/a,n/a,Sociologie,16,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă (IF),1,Doctorat,3,n/a,n/a,3,180,2020
14832,Universitatea de Vest din Timişoara,48,Școala doctorală de Psihologie,1126,n/a,n/a,n/a,n/a,Ştiinţe ale educaţiei,22,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă redusă (IFR),2,Doctorat,3,n/a,n/a,3,180,2020
14829,Universitatea de Vest din Timişoara,48,Școala doctorală de Psihologie,1126,n/a,n/a,n/a,n/a,Ştiinţe ale educaţiei,22,n/a,n/a,n/a,n/a,Învăţământ cu frecvenţă (IF),1,Doctorat,3,n/a,n/a,3,180,2020
