ID RMU,Nume,Domeniu studiu,ID Domeniu studiu,Ramura stiinta,Domeniu fundamental,Ciclu de studii,ID Ciclu de studii,An
4141,Studii avansate în matematică/ Advanced Studies in Matematics,Matematică,1,Matematică,Matematică şi ştiinţe ale naturii,Master,2,2020
4144,Ştiinţa datelor/ Data Science,Informatică,4,Informatică,Matematică şi ştiinţe ale naturii,Master,2,2020
4153,Sistem informaţional contabil în asistarea deciziilor,Contabilitate,27,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
4156,Securitate cibernetică şi managementul riscurilor,"Inginerie electronică, telecomunicaţii şi tehnologii informaţionale",53,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Master,2,2020
4159,Responsabilitatea juridică a personalului medical,Medicină,89,Medicină,Ştiinţe biologice şi biomedicale,Master,2,2020
4162,Perspective lingvistice şi literare în spaţiul francofon,Filologie,99,Filologie,Ştiinţe umaniste şi arte,Master,2,2020
4165,Paradigme ale comunicării interculturale,Filologie,99,Filologie,Ştiinţe umaniste şi arte,Master,2,2020
4168,Metode moderne în predarea matematicii,Matematică,1,Matematică,Matematică şi ştiinţe ale naturii,Master,2,2020
4171,Metode moderne în predarea informaticii,Informatică,4,Informatică,Matematică şi ştiinţe ale naturii,Master,2,2020
4174,Medicină tradiţională chineză,Medicină,89,Medicină,Ştiinţe biologice şi biomedicale,Master,2,2020
4177,Management şi antreprenoriat cultural,Teatru şi artele spectacolului,32,Arte,Ştiinţe umaniste şi arte,Master,2,2020
4180,Management în dezvoltare rurală şi agroturism,Inginerie şi management în agricultură şi dezvoltare rurală,83,Ingineria resurselor vegetale şi animale,Ştiinţe inginereşti,Master,2,2020
4183,Management educaţional sanitar,Medicină,89,Medicină,Ştiinţe biologice şi biomedicale,Master,2,2020
4186,Lingvistică franceză aplicată,Filologie,99,Filologie,Ştiinţe umaniste şi arte,Master,2,2020
4189,Lingvistică aplicată - Limba engleză ca limbă străină,Filologie,99,Filologie,Ştiinţe umaniste şi arte,Master,2,2020
4192,Leadership şi consultanţă în afacerile comerciale internaţionale,Economie şi afaceri internaţionale,29,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
4195,Leadership şi comunicare politică,Ştiinţe ale comunicării,21,Ştiinţe ale comunicării,Ştiinţe sociale,Master,2,2020
4198,Laborator medical,Medicină,89,Medicină,Ştiinţe biologice şi biomedicale,Master,2,2020
4201,Laborator medical,Biologie,5,Biologie,Ştiinţe biologice şi biomedicale,Master,2,2020
4204,Jurisdicţii speciale,Drept,15,Ştiinţe juridice,Ştiinţe sociale,Master,2,2020
4207,"Evaluare clinică, consiliere şi psihoterapie de cuplu şi familie",Psihologie,23,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Master,2,2020
4216,Consiliere şi integrare educaţională,Ştiinţe ale educaţiei,22,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Master,2,2020
4225,Bioinginerie aplicată pentru medicina regenerativă,Ştiinţe inginereşti aplicate,70,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Master,2,2020
4228,Bioinformatică medicală,Biologie,5,Biologie,Ştiinţe biologice şi biomedicale,Master,2,2020
4231,Biochimie clinică aplicată,Biologie,5,Biologie,Ştiinţe biologice şi biomedicale,Master,2,2020
4234,Baze de date şi tehnologii software,Informatică,4,Informatică,Matematică şi ştiinţe ale naturii,Master,2,2020
4237,Asistenţă managerială şi administrativă,Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Master,2,2020
4240,Arte performative şi film,Teatru şi artele spectacolului,32,Arte,Ştiinţe umaniste şi arte,Master,2,2020
4243,Administraţie publică şi management în context european,Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Master,2,2020
4246,Limbile moderne în dinamică plurilingvă,Filologie,99,Filologie,Ştiinţe umaniste şi arte,Master,2,2020
4249,Studii europene,Istorie,12,Istorie,Ştiinţe umaniste şi arte,Master,2,2020
4252,Studii de dezvoltare internaţională,Relaţii internaţionale şi studii europene,19,Ştiinţe politice,Ştiinţe sociale,Master,2,2020
4255,Sisteme inteligente,Calculatoare şi tehnologia informaţiei,44,"Ingineria sistemelor, calculatoare şi tehnologia informaţiei",Ştiinţe inginereşti,Master,2,2020
4258,Protecţia plantelor,Horticultură,40,Ingineria resurselor vegetale şi animale,Ştiinţe inginereşti,Master,2,2020
4261,Poliţie judiciară,Ordine publică și siguranță națională,95,"Ştiinţe militare, informaţii şi ordine publică",Ştiinţe sociale,Master,2,2020
4267,Managementul serviciilor sociale şi de sănătate,Medicină,89,Medicină,Ştiinţe biologice şi biomedicale,Master,2,2020
4273,Managementul sectorului public,Management,30,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
4276,Managementul resurselor umane,Psihologie,23,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Master,2,2020
4279,Managementul resurselor umane,Management,30,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
